INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18969', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18970', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18971', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18972', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18973', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18974', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18975', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18976', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18977', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18978', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18979', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18980', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18981', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18982', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18983', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18984', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18985', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18986', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18987', '10');
INSERT INTO `mob_droplist` (`dropId`, `itemId`, `itemRate`) VALUES ('7001', '18988', '10');
